"currency","id","country","category_id","price_ticket_amount","purchased_at","quantity_sold"
"USD",17507644,"US",NULL,359.74,"2018-01-30 07:56:42",1
"USD",22181516,"US",NULL,125.00,"2018-01-30 07:55:03",1
"ARS",21883865,"AR",8020,0.00,"2018-01-30 07:53:18",1
"USD",7639781,"SE",105,0.00,"2018-01-29 15:59:30",1
"EUR",22185048,"NL",15005,11.68,"2018-01-29 12:54:14",1
"USD",4574567,"US",15001,0.00,"2018-01-29 07:29:03",1
"USD",20077505,"US",NULL,0.00,"2018-01-25 23:00:43",1
"EUR",22382681,"NL",1007,0.00,"2018-01-25 23:00:40",1
"USD",11278677,"US",101,59.66,"2018-01-25 23:00:34",1
"USD",11278677,"US",101,355.98,"2018-01-25 23:00:34",1
"USD",12865466,"US",11006,5.00,"2018-01-25 23:00:29",1
"USD",8366439,"US",2004,134.98,"2018-01-25 23:00:28",1
"AUD",22996255,"AU",108,0.00,"2018-01-25 23:00:11",1
"NZD",17481443,"NZ",18003,138.00,"2018-01-25 23:00:11",1
"CAD",16797895,"CA",1007,20.00,"2018-01-25 23:00:07",2
"USD",20667547,"US",NULL,55.00,"2018-01-25 23:00:06",1
"USD",20667547,"US",NULL,0.00,"2018-01-25 23:00:06",1
"GBP",15990582,"GB",15003,21.76,"2018-01-25 23:00:05",1
"GBP",16159864,"GB",101,0.00,"2018-01-25 23:00:05",2
"USD",22982771,"US",111,105.98,"2018-01-25 23:00:04",1
"USD",22817792,"US",9999,0.00,"2018-01-25 23:00:02",4
"USD",21718699,"US",109,0.00,"2018-01-25 23:00:00",1
"AUD",20653857,"AU",108,481.68,"2018-01-25 22:59:59",3
"USD",21453887,"US",110,0.00,"2018-01-25 22:59:58",1
"USD",21705694,"US",7002,0.00,"2018-01-25 22:59:57",3
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:59:54",1
"USD",21702484,"US",199,0.00,"2018-01-25 22:59:52",1
"USD",22850530,"US",NULL,0.00,"2018-01-25 22:59:48",1
"CAD",11285149,"CA",101,64.87,"2018-01-25 22:59:47",1
"CAD",11285149,"CA",101,160.21,"2018-01-25 22:59:47",1
"SGD",22087398,"SG",103,0.00,"2018-01-25 22:59:43",1
"USD",21070943,"US",120,0.00,"2018-01-25 22:59:39",1
"USD",21070943,"US",120,0.00,"2018-01-25 22:59:39",1
"USD",21070943,"US",120,0.00,"2018-01-25 22:59:39",1
"USD",21070943,"US",120,0.00,"2018-01-25 22:59:39",1
"USD",21070943,"US",120,0.00,"2018-01-25 22:59:39",1
"USD",21806203,"MX",NULL,85.35,"2018-01-25 22:59:39",3
"USD",13042251,"US",199,0.00,"2018-01-25 22:59:33",1
"EUR",20016681,"DE",113,100.27,"2018-01-25 22:59:24",1
"USD",11278677,"US",101,344.98,"2018-01-25 22:59:23",1
"USD",18963943,"PH",8026,0.00,"2018-01-25 22:59:22",1
"AUD",20989546,"AU",NULL,0.00,"2018-01-25 22:59:22",1
"USD",19005711,"US",NULL,43.32,"2018-01-25 22:59:20",3
"AUD",22101214,"AU",5011,115.50,"2018-01-25 22:59:17",3
"GBP",21740938,"GB",7003,0.00,"2018-01-25 22:59:16",2
"USD",21680112,"US",NULL,27.37,"2018-01-25 22:59:13",1
"USD",21680112,"US",NULL,27.37,"2018-01-25 22:59:13",1
"USD",20605114,"MX",2004,280.00,"2018-01-25 22:59:08",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:59:07",1
"USD",22703635,"US",113,0.00,"2018-01-25 22:59:04",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:59:02",1
"AUD",22103107,"AU",19008,173.78,"2018-01-25 22:59:01",2
"USD",20431721,"US",20002,0.00,"2018-01-25 22:58:59",2
"GBP",21562914,"GB",1010,33.04,"2018-01-25 22:58:56",2
"SGD",22193937,"SG",108,0.00,"2018-01-25 22:58:54",1
"AUD",20653857,"AU",108,321.12,"2018-01-25 22:58:49",2
"SGD",22087398,"SG",103,0.00,"2018-01-25 22:58:47",1
"USD",17438654,"US",8019,0.00,"2018-01-25 22:58:46",1
"USD",17438654,"US",8019,330.00,"2018-01-25 22:58:46",1
"AUD",21127473,"AU",9006,107.12,"2018-01-25 22:58:30",2
"EUR",22461975,"DE",8001,0.00,"2018-01-25 22:58:29",1
"EUR",22461975,"DE",8001,0.00,"2018-01-25 22:58:29",1
"AUD",22996255,"AU",108,0.00,"2018-01-25 22:58:25",2
"AUD",22996255,"AU",108,0.00,"2018-01-25 22:58:25",1
"USD",22304538,"US",7003,78.20,"2018-01-25 22:58:20",2
"USD",20639345,"US",1001,0.00,"2018-01-25 22:58:11",1
"AUD",21595703,"AU",NULL,70.00,"2018-01-25 22:58:10",1
"AUD",21595703,"AU",NULL,1199.00,"2018-01-25 22:58:10",1
"EUR",22145250,"BE",7001,0.00,"2018-01-25 22:58:06",1
"AUD",20653857,"AU",108,160.56,"2018-01-25 22:58:01",1
"USD",22224767,"US",NULL,37.74,"2018-01-25 22:57:57",1
"AUD",22086350,"AU",119,59.00,"2018-01-25 22:57:55",1
"GBP",21930570,"GB",1010,0.00,"2018-01-25 22:57:49",1
"GBP",21930570,"GB",1010,0.00,"2018-01-25 22:57:49",1
"GBP",21930570,"GB",1010,0.00,"2018-01-25 22:57:49",1
"GBP",21930570,"GB",1010,0.00,"2018-01-25 22:57:49",1
"USD",16144469,"US",10003,25.84,"2018-01-25 22:57:39",1
"USD",22123840,"AE",19008,0.00,"2018-01-25 22:57:34",1
"CAD",16797895,"CA",1007,33.60,"2018-01-25 22:57:33",3
"USD",21121269,"US",NULL,0.00,"2018-01-25 22:57:33",1
"USD",9558142,"US",113,0.00,"2018-01-25 22:57:33",1
"USD",21718699,"US",109,0.00,"2018-01-25 22:57:28",1
"USD",21718699,"US",109,0.00,"2018-01-25 22:57:28",1
"AUD",22996255,"AU",108,0.00,"2018-01-25 22:57:27",2
"SEK",22823906,"SE",NULL,0.00,"2018-01-25 22:57:25",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:57:24",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:57:22",1
"CAD",22077749,"CA",1001,41.39,"2018-01-25 22:57:22",1
"GBP",12526075,"GB",8020,0.00,"2018-01-25 22:57:16",1
"USD",21718699,"US",109,0.00,"2018-01-25 22:57:11",1
"USD",11188786,"US",NULL,5.00,"2018-01-25 22:57:11",1
"AUD",22858410,"AU",NULL,210.98,"2018-01-25 22:57:09",2
"USD",4430077,"US",1005,0.00,"2018-01-25 22:57:09",2
"USD",18963943,"PH",8026,0.00,"2018-01-25 22:57:08",1
"USD",22480977,"US",101,0.00,"2018-01-25 22:57:04",1
"USD",22480977,"US",101,6.09,"2018-01-25 22:57:04",1
"USD",22480977,"US",101,6.09,"2018-01-25 22:57:04",1
"USD",22480977,"US",101,31.59,"2018-01-25 22:57:04",1
"USD",15593887,"US",1010,25.03,"2018-01-25 22:57:01",1
"USD",22030072,"CA",101,0.00,"2018-01-25 22:56:57",1
"GBP",17627437,"GB",111,5.23,"2018-01-25 22:56:53",1
"GBP",17627437,"GB",111,104.50,"2018-01-25 22:56:53",2
"GBP",17627437,"GB",111,0.00,"2018-01-25 22:56:53",1
"USD",18879430,"US",199,0.00,"2018-01-25 22:56:53",1
"USD",20180215,"US",101,0.00,"2018-01-25 22:56:53",1
"USD",5073129,"US",1001,0.00,"2018-01-25 22:56:47",4
"USD",22123558,"US",1001,22.00,"2018-01-25 22:56:46",1
"USD",21718699,"US",109,0.00,"2018-01-25 22:56:45",1
"USD",18130128,"US",8020,17.89,"2018-01-25 22:56:45",1
"USD",22770567,"US",NULL,33.72,"2018-01-25 22:56:43",1
"HKD",22034377,"HK",7001,0.00,"2018-01-25 22:56:40",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:56:40",1
"EUR",17484766,"DE",1007,21.90,"2018-01-25 22:56:35",1
"GBP",15858582,"GB",108,7.50,"2018-01-25 22:56:26",1
"USD",22982771,"US",111,105.98,"2018-01-25 22:56:25",1
"USD",22470576,"US",109,27.03,"2018-01-25 22:56:24",1
"USD",22174481,"US",8017,53.24,"2018-01-25 22:56:20",1
"USD",21826173,"US",103,0.00,"2018-01-25 22:56:20",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:56:10",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:56:09",1
"USD",21426659,"US",NULL,0.00,"2018-01-25 22:56:09",1
"USD",21119847,"US",NULL,0.00,"2018-01-25 22:56:06",1
"USD",10868470,"US",108,0.00,"2018-01-25 22:56:06",1
"GBP",22304295,"GB",103,566.04,"2018-01-25 22:56:02",1
"USD",17253222,"US",108,19.10,"2018-01-25 22:56:02",1
"HKD",21022586,"HK",199,0.00,"2018-01-25 22:56:01",1
"GBP",16699361,"GB",107,40.00,"2018-01-25 22:56:00",1
"USD",20931152,"US",19008,50.14,"2018-01-25 22:55:56",2
"USD",21988303,"US",NULL,0.00,"2018-01-25 22:55:55",1
"EUR",22895089,"FR",NULL,0.00,"2018-01-25 22:55:53",2
"AUD",20653857,"AU",108,160.56,"2018-01-25 22:55:53",1
"EUR",17484766,"DE",1007,21.90,"2018-01-25 22:55:52",1
"EUR",22967662,"GR",199,0.00,"2018-01-25 22:55:51",1
"GBP",22954492,"GB",NULL,0.00,"2018-01-25 22:55:50",1
"USD",5073129,"US",1001,0.00,"2018-01-25 22:55:45",4
"MXN",19982153,"MX",105,0.00,"2018-01-25 22:55:44",1
"USD",22030933,"US",NULL,0.00,"2018-01-25 22:55:41",2
"EUR",22367818,"NL",101,4.49,"2018-01-25 22:55:39",1
"EUR",22367818,"NL",101,4.49,"2018-01-25 22:55:39",1
"EUR",22367818,"NL",101,4.49,"2018-01-25 22:55:39",1
"EUR",22367818,"NL",101,4.49,"2018-01-25 22:55:39",1
"EUR",22367818,"NL",101,10.70,"2018-01-25 22:55:39",1
"USD",21121269,"US",NULL,0.00,"2018-01-25 22:55:28",1
"GBP",16719950,"GB",1007,0.00,"2018-01-25 22:55:27",1
"GBP",16719950,"GB",1007,0.00,"2018-01-25 22:55:27",1
"USD",11823490,"US",107,13.65,"2018-01-25 22:55:27",1
"AUD",22101214,"AU",5011,38.50,"2018-01-25 22:55:25",1
"USD",15593887,"US",1011,30.74,"2018-01-25 22:55:23",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:55:21",1
"GBP",9489203,"",15001,23.40,"2018-01-25 22:55:17",3
"USD",21373255,"US",1007,0.00,"2018-01-25 22:55:14",1
"USD",21119847,"US",NULL,0.00,"2018-01-25 22:55:06",1
"CAD",14479982,"CA",7001,0.00,"2018-01-25 22:54:59",1
"USD",21493104,"US",199,16.37,"2018-01-25 22:54:59",1
"AUD",21480773,"AU",NULL,47.27,"2018-01-25 22:54:58",1
"AUD",15259269,"AU",11008,39.90,"2018-01-25 22:54:57",1
"GBP",22218250,"GB",1007,0.00,"2018-01-25 22:54:54",1
"CAD",19548974,"CA",2004,0.00,"2018-01-25 22:54:53",1
"SGD",22874625,"SG",112,0.00,"2018-01-25 22:54:53",1
"USD",11369215,"US",115,0.00,"2018-01-25 22:54:51",1
"USD",11369215,"US",115,0.00,"2018-01-25 22:54:51",1
"USD",11369215,"US",115,0.00,"2018-01-25 22:54:51",1
"AUD",22065067,"AU",101,0.00,"2018-01-25 22:54:47",1
"USD",21121269,"US",NULL,0.00,"2018-01-25 22:54:41",1
"USD",22201063,"US",5010,0.00,"2018-01-25 22:54:35",1
"USD",22703635,"US",113,0.00,"2018-01-25 22:54:24",1
"AUD",21130919,"AU",3010,0.00,"2018-01-25 22:54:21",1
"AUD",21130919,"AU",3010,0.00,"2018-01-25 22:54:21",1
"GBP",18453052,"GB",110,0.00,"2018-01-25 22:54:21",2
"EUR",22606546,"ES",199,0.00,"2018-01-25 22:54:17",1
"NZD",20496048,"NZ",101,179.07,"2018-01-25 22:54:14",3
"USD",22850530,"US",NULL,367.44,"2018-01-25 22:54:13",1
